title|task|tools|summary1|summary2|linkedinUrl
Starting My AI Journey|Kickstarting my journey in AI and preparing for the 100-day learning challenge|Twitter/X, LinkedIn|Focused on establishing a foundation by preparing for the #100DaysOfAI journey and setting goals for AI learning.|Today marks the beginning of my #100DaysOfAI challenge, where I am excited to build a strong foundation in artificial intelligence. As I embark on this journey, my aim is to enhance my knowledge through practical applications, daily learning, and engagement with the AI community. Today’s task involved mentally preparing for the challenge, publicly committing to share my progress on social media, and setting clear, achievable goals. I’m looking forward to expanding my AI skills daily, ultimately building a robust AI portfolio and tackling real-world problems. This initial step is all about habit-building, staying accountable within a supportive community, and planning ahead for success. The excitement is just beginning!|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-artificialintelligence-activity-7213470710625619969-GS01?utm_source=share&utm_medium=member_desktop
Mastering Email Writing with AI|Learning to use AI-driven tools to draft and refine emails with different tones and styles|ChatGPT|Explored techniques to improve email writing using ChatGPT, focusing on adjusting tone, length, and style.|Today’s lesson focused on using ChatGPT to enhance email communication. By experimenting with prompts, I practiced creating emails in various tones, including casual and professional, and adjusted the length to be concise or detailed based on the recipient’s needs. A major highlight was the ability to add, remove, or rewrite sections on demand, making it easier to create emails that resonate with specific audiences. This experience showed how AI can simplify content creation, even enabling fun prompts like ‘Rewrite this email in the style of Elon Musk.’ Overall, it’s fascinating to see AI reshape digital interactions, making every message intentional and impactful!|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-ai-activity-7213801526056689664-fZSs?utm_source=share&utm_medium=member_desktop
Creating AI-Powered Marketing Strategy|Utilizing ChatGPT to develop marketing strategies with the PREP framework|ChatGPT|Focused on creating a comprehensive AI-powered document generation strategy for drafting business documents|Today, I delved into the PREP framework (Prompt, Role, Explicit Instruction, Parameters) to create structured prompts for ChatGPT, crafting a detailed marketing strategy document. This framework empowered me to define clear objectives, assign roles, provide explicit instructions, and set necessary parameters for accurate and goal-aligned outputs. I explored how AI can enhance precision in data analysis, streamline efficiency by automating repetitive tasks, and drive innovative approaches in marketing. This experience reinforced AI’s potential in transforming marketing strategies, making the process not only efficient but also insightful and creative. Moving forward, I’ll continue to refine this technique for various document types, maximizing AI's role in professional tasks.|https://www.linkedin.com/posts/mahesh-ketam_marketing-strategy-for-hunt-ai-activity-7214255929616125952-mDEG?utm_source=share&utm_medium=member_desktop
Building a Website with AI|Creating a website for SmartPost AI using the no-code platform Unicorn Platform and AI functionalities|Unicorn Platform|Focused on designing and building a website for SmartPost AI with ease using a no-code tool|Today, I took my first steps in building a website for SmartPost AI, an innovative chatbot for creating LinkedIn posts, using Unicorn Platform’s no-code and AI-driven capabilities. This lesson highlighted how AI can simplify website creation, from generating the layout to writing and editing copy directly in the platform. The streamlined design experience allowed me to concentrate on making the homepage user-friendly and visually engaging without extensive technical skills. While the website isn’t yet fully complete, the initial progress exemplifies how AI can democratize web development, enabling users to create functional and attractive websites swiftly. I’m eager to continue refining it and exploring more AI tools for web projects.|https://www.linkedin.com/posts/mahesh-ketam_smartpost-ai-activity-7214553926400921600-toyo?utm_source=share&utm_medium=member_desktop
Introducing SmartPost AI|Developed a custom AI assistant, SmartPost AI, to generate LinkedIn posts in my tone of voice using the Chipp platform|Chipp|Today, I created a custom AI assistant designed to streamline content creation for LinkedIn|In today’s session, I built SmartPost AI, a custom assistant using Chipp, which generates LinkedIn posts in my unique tone of voice. Chipp’s functionality allowed me to create, brand, and customize my assistant to suit my content creation needs, making LinkedIn posting easier and more engaging. The setup process was straightforward, thanks to Chipp’s user-friendly interface and customization options. This lesson provided insights into how Chipp enables businesses to create monetizable, branded AI assistants for tasks like content generation, customer engagement, and lead collection. I’m excited to continue refining SmartPost AI as I progress through my #100DaysOfAI journey!|https://www.linkedin.com/posts/mahesh-ketam_smartpost-ai-activity-7214903252994154496-KNM-?utm_source=share&utm_medium=member_desktop
Automating Meeting Notes with AI|Used Fathom to automatically generate meeting notes, highlights, and action items|Fathom|Today, I automated the process of taking notes during meetings using Fathom, an AI meeting assistant|On Day 6, I explored how Fathom can enhance meeting productivity by transcribing meetings, generating action items, and allowing for easy sharing of highlights. By using Fathom, I no longer need to split my focus between actively listening and note-taking; instead, Fathom handles all transcription and annotation tasks, ensuring nothing is missed. This tool is compatible with major platforms like Zoom and Microsoft Teams, and it can be easily integrated with CRM and automation tools for a more streamlined workflow. Fathom has proven to be a time-saving addition to my toolkit, letting me focus on engaging more fully during meetings.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-100daysofai-activity-7215259050513424385-BRTM?utm_source=share&utm_medium=member_desktop
Breath & Reflect|Reflect on learnings and achievements from the first week of the #100DaysOfAI challenge.|None|Today was a reflection day to assess key takeaways, enjoyable moments, and areas to explore more deeply in the #100DaysOfAI journey.|Recapped skills gained, like AI-powered email writing, no-code website building, custom chatbot creation, and automated meeting notes. Identified strengths and areas for deeper exploration in AI applications.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-artificialintelligence-activity-7215608227932033024-GVRO?utm_source=share&utm_medium=member_desktop
Building an Audio-to-Text Note-Taking App|Develop an app that converts spoken words to text, enhancing note-taking efficiency.|Glide|Today’s project focused on building an audio-to-text app that enables users to convert speech to text for quick and efficient note-taking.|Using Glide, I created an intuitive app that leverages AI-powered speech recognition, making it easy to capture thoughts on the go. This tool is helpful for recording ideas, planning, and even facilitating self-reflection on busy days.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-machinelearning-activity-7216087334885154816-f9rp?utm_source=share&utm_medium=member_desktop
Creating Your Own AI Business Coach Using a Mega-Prompt|Developed an AI business coach using a mega-prompt, enhancing decision-making capabilities and offering personalized business insights.|ChatGPT|Today, I focused on refining my prompting skills by building an AI business coach that utilizes a mega-prompt technique. The AI coach provides personalized business insights and actionable advice, making business coaching accessible and cost-effective. I explored how to write and modify mega-prompts, which set clear roles and directives for the AI assistant.|The AI business coach enhances decision-making by offering data-driven insights and real-time analysis of conversations. This project showcases the potential of AI in providing valuable business support.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-machinelearning-activity-7216337228619206658-NYv-?utm_source=share&utm_medium=member_desktop
Mastering AI-Powered Search Tools|Research & Discovery with AI-powered Search|Exa, Perplexity|Learned to utilize AI-driven search tools for improved research and discovery processes.|Today, I explored the innovative AI-powered search tools, Exa and Perplexity. These tools transform how we approach searching for information by offering intelligent results that enhance our research experience. By employing advanced algorithms and natural language processing, these platforms allow for a more conversational and intuitive interaction. I experimented with prompting techniques on Exa and investigated how Perplexity structures its responses, discovering the importance of context and real-time updates in delivering relevant information.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-ai-activity-7216817736859934721-NWQL?utm_source=share&utm_medium=member_desktop
